threads: 1

Up to STR_LEN[38] = 1
Number of runs per length: 1

Pairs	Length	avg time(sec)
1	10	1.40667e-05
6	20	1.97887e-05
9	30	5.60284e-05
11	40	0.000128031
15	50	0.000287056
18	60	0.000394106
21	70	0.000699043
25	80	0.00105
29	90	0.00148416
32	100	0.00229287
176	500	0.16942
356	1000	1.38381
447	1250	2.70796
536	1500	4.68246
629	1750	7.44719
717	2000	11.1
807	2250	15.8853
895	2500	21.9225
987	2750	29.2819
1079	3000	38.3219
1168	3250	48.784
1259	3500	60.8368
1349	3750	75.1931
1442	4000	91.7019
1532	4250	110.359
1623	4500	130.673
1714	4750	153.058
1806	5000	180.355
1897	5250	209.176
1990	5500	241.485
2081	5750	274.54
2171	6000	313.528
2264	6250	355.006
2354	6500	397.732
2447	6750	449.086
2537	7000	500.916
2901	8000	754.954
3266    9000    1061.98
